Name,Price,Support,Experience,Surface,Midsole Drop(mm),Weight(g)
Addiction 14,130,Max Support,Cushion,Road,12,357.2
Adrenaline GTS 20,130,Support,Cushion,Road,12,300.5
Anthem 3,69.95,Neutral,Cushion,Road,10,212.6
Beast 20,160,Max Support,Cushion,Road,12,331.7
Cascadia 15,130,Neutral,Cushion,Trail,8,311.8
Cascadia 15 GTX,160,Neutral,Cushion,Trail,8,331.7
Divide,100,Neutral,Cushion,Trail,8,292
Dyad 11,130,Neutral,Cushion,Road,10,328.9
Ghost 13,130,Neutral,Cushion,Road,12,286.3
Glycerin 18,150,Neutral,Cushion,Road,10,289.2
Transcend 7,160,Support,Cushion,Road,10,303.3
